GTEX-N7MS-0007-SM-2D7W1	GSM1117144_GTEX-N7MS-0007-SM-2D43E.CEL
GTEX-R55E-0011-R5A-SM-2TC5N	GSM1117727_GTEX-R55E-0011-R5A-SM-2TO4Q.CEL
GTEX-R55E-0011-R6A-SM-2TC5T	GSM1117728_GTEX-R55E-0011-R6A-SM-2TO6K.CEL
GTEX-R55E-0011-R7A-SM-2TC5Z	GSM1117729_GTEX-R55E-0011-R7A-SM-2TO6A.CEL
GTEX-R55E-0011-R8A-SM-2TC66	GSM1117730_GTEX-R55E-0011-R8A-SM-2TO6E.CEL
GTEX-R55E-0011-R9A-SM-2TC6C	GSM1117731_GTEX-R55E-0011-R9A-SM-2TO6R.CEL
GTEX-R55E-0126-SM-2TC5Y	GSM1117732_GTEX-R55E-0126-SM-2TO6U.CEL
GTEX-R55E-0426-SM-2TC65	GSM1117733_GTEX-R55E-0426-SM-2TO4J.CEL
GTEX-R55E-0526-SM-2TC6B	GSM1117734_GTEX-R55E-0526-SM-2TO56.CEL
GTEX-R55E-0826-SM-2TC5M	GSM1117735_GTEX-R55E-0826-SM-2TO6B.CEL
GTEX-R55E-1026-SM-2TC5S	GSM1117736_GTEX-R55E-1026-SM-2TO6T.CEL
GTEX-R55E-2526-SM-2TC6H	GSM1117737_GTEX-R55E-2526-SM-2TO6F.CEL
GTEX-R55F-0005-SM-2TF4W	GSM1117738_GTEX-R55F-0005-SM-2TWC8.CEL
GTEX-R55F-0011-R5A-SM-2TF5L	GSM1117739_GTEX-R55F-0011-R5A-SM-2TWCL.CEL
GTEX-R55F-0011-R6A-SM-2TF4L	GSM1117740_GTEX-R55F-0011-R6A-SM-2TWCP.CEL
GTEX-R55F-0011-R8A-SM-2TF4F	GSM1117741_GTEX-R55F-0011-R8A-SM-2TWCT.CEL
GTEX-R55F-1226-SM-2TF59	GSM1117742_GTEX-R55F-1226-SM-2TWB5.CEL
GTEX-R55F-1426-SM-2TF53	GSM1117744_GTEX-R55F-1426-SM-2TWAS.CEL
GTEX-R55F-1526-SM-2TF4X	GSM1117745_GTEX-R55F-1526-SM-2TWBA.CEL
GTEX-R55G-0006-SM-2TC6O	GSM1117746_GTEX-R55G-0006-SM-2TO6P.CEL
GTEX-R55G-0526-SM-2TC5O	GSM1117747_GTEX-R55G-0526-SM-2TO6S.CEL
GTEX-R55G-0726-SM-2TC6J	GSM1117748_GTEX-R55G-0726-SM-2TWCM.CEL
GTEX-R55G-0826-SM-2TC5U	GSM1117749_GTEX-R55G-0826-SM-2TWCO.CEL
GTEX-R55G-2126-SM-2TC67	GSM1117750_GTEX-R55G-2126-SM-2TWB4.CEL
GTEX-R55G-2326-SM-2TC61	GSM1117751_GTEX-R55G-2326-SM-2TWC5.CEL
GTEX-REY6-0005-SM-2TF54	GSM1117752_GTEX-REY6-0005-SM-2TO6X.CEL
GTEX-REY6-0426-SM-2TF5G	GSM1117753_GTEX-REY6-0426-SM-2TO5S.CEL
GTEX-REY6-0526-SM-2TF5M	GSM1117754_GTEX-REY6-0526-SM-2TO71.CEL
GTEX-REY6-0626-SM-2TF4G	GSM1117755_GTEX-REY6-0626-SM-2TO4G.CEL
GTEX-REY6-0726-SM-2TF4M	GSM1117756_GTEX-REY6-0726-SM-2TO4O.CEL
GTEX-REY6-0826-SM-2TF4S	GSM1117757_GTEX-REY6-0826-SM-2TO4M.CEL
GTEX-REY6-1026-SM-2TF4Y	GSM1117758_GTEX-REY6-1026-SM-2TO6G.CEL
GTEX-RM2N-0006-SM-2TF5H	GSM1117759_GTEX-RM2N-0006-SM-2TO4R.CEL
GTEX-RM2N-0426-SM-2TF4T	GSM1117760_GTEX-RM2N-0426-SM-2TO75.CEL
GTEX-RM2N-0526-SM-2TF4N	GSM1117761_GTEX-RM2N-0526-SM-2TO66.CEL
GTEX-RM2N-1426-SM-2TF4H	GSM1117762_GTEX-RM2N-1426-SM-2TO53.CEL
GTEX-RM2N-1626-SM-2TF5N	GSM1117763_GTEX-RM2N-1626-SM-2TO4W.CEL
GTEX-RM2N-1826-SM-2TF5B	GSM1117764_GTEX-RM2N-1826-SM-2TO4K.CEL
GTEX-RN64-0126-SM-2TC68	GSM1117766_GTEX-RN64-0126-SM-2TO55.CEL
GTEX-RN64-0326-SM-2TC5J	GSM1117767_GTEX-RN64-0326-SM-2TO5K.CEL
GTEX-RN64-0526-SM-2TC5P	GSM1117768_GTEX-RN64-0526-SM-2TO4V.CEL
GTEX-RN64-0626-SM-2TC5V	GSM1117769_GTEX-RN64-0626-SM-2TO65.CEL
GTEX-RN64-1226-SM-2TC6E	GSM1117771_GTEX-RN64-1226-SM-2TO5D.CEL
GTEX-RNOR-0005-SM-2TF4Z	GSM1117772_GTEX-RNOR-0005-SM-2TWBH.CEL
GTEX-RNOR-0011-R4A-SM-3GAD3	GSM1117775_GTEX-RNOR-0011-R4A-SM-2TWCS.CEL
GTEX-RNOR-0011-R5A-SM-2TF4J	GSM1117776_GTEX-RNOR-0011-R5A-SM-2TWD3.CEL
GTEX-RNOR-0011-R7A-SM-2TF4V	GSM1117778_GTEX-RNOR-0011-R7A-SM-2TWCV.CEL
GTEX-RNOR-0011-R9A-SM-2TF52	GSM1117779_GTEX-RNOR-0011-R9A-SM-2TWB8.CEL
GTEX-RNOR-0126-SM-2TF57	GSM1117780_GTEX-RNOR-0126-SM-2TWAZ.CEL
GTEX-RNOR-0326-SM-2TF51	GSM1117781_GTEX-RNOR-0326-SM-2TWB6.CEL
GTEX-RNOR-0426-SM-2TF4U	GSM1117782_GTEX-RNOR-0426-SM-2TWAN.CEL
GTEX-RNOR-0526-SM-2TF4O	GSM1117783_GTEX-RNOR-0526-SM-2TWB9.CEL
GTEX-RNOR-0726-SM-2TF5I	GSM1117784_GTEX-RNOR-0726-SM-2TWBF.CEL
GTEX-RNOR-0826-SM-2TF5C	GSM1117785_GTEX-RNOR-0826-SM-2TWBE.CEL
GTEX-RNOR-0926-SM-2TF56	GSM1117786_GTEX-RNOR-0926-SM-2TWCZ.CEL
GTEX-RNOR-2226-SM-2TF5O	GSM1117787_GTEX-RNOR-2226-SM-2TWDA.CEL
GTEX-RNOR-2326-SM-2TF4I	GSM1117788_GTEX-RNOR-2326-SM-2TWC7.CEL
GTEX-RTLS-0006-SM-2TF58	GSM1117789_GTEX-RTLS-0006-SM-2TWAQ.CEL
GTEX-RTLS-0326-SM-2TF6A	GSM1117790_GTEX-RTLS-0326-SM-2TWAO.CEL
GTEX-RTLS-0426-SM-2TF5K	GSM1117791_GTEX-RTLS-0426-SM-2TWBI.CEL
GTEX-RTLS-0526-SM-2TF64	GSM1117792_GTEX-RTLS-0526-SM-2TWBW.CEL
GTEX-RTLS-0826-SM-2TF5Q	GSM1117794_GTEX-RTLS-0826-SM-2TWCX.CEL
GTEX-RTLS-0926-SM-2TF5X	GSM1117795_GTEX-RTLS-0926-SM-2TWBR.CEL
GTEX-RU1J-0003-SM-3K2A8	GSM1117796_GTEX-RU1J-0003-SM-2XV76.CEL
GTEX-RU1J-0006-SM-2TF6M	GSM1117797_GTEX-RU1J-0006-SM-2TWC6.CEL
GTEX-RU1J-0126-SM-2TF6Y	GSM1117798_GTEX-RU1J-0126-SM-2TWBN.CEL
GTEX-RU1J-0226-SM-2TF5Y	GSM1117799_GTEX-RU1J-0226-SM-2TWBC.CEL
GTEX-RU1J-1726-SM-2TF5S	GSM1117800_GTEX-RU1J-1726-SM-2TWCK.CEL
GTEX-RU1J-1926-SM-2TF6S	GSM1117801_GTEX-RU1J-1926-SM-2TWBP.CEL
GTEX-RU72-0006-SM-2TF65	GSM1117802_GTEX-RU72-0006-SM-2TWCA.CEL
GTEX-RU72-0011-R11A-SM-2TF6J	GSM1117804_GTEX-RU72-0011-R11A-SM-2TWD7.CEL
GTEX-RU72-0011-R2A-SM-2TF6O	GSM1117806_GTEX-RU72-0011-R2A-SM-2TWDC.CEL
GTEX-RU72-0011-R5A-SM-2TF6U	GSM1117807_GTEX-RU72-0011-R5A-SM-2TWCN.CEL
GTEX-RU72-0011-R6A-SM-2TF71	GSM1117808_GTEX-RU72-0011-R6A-SM-2TWCU.CEL
GTEX-RU72-0011-R7A-SM-2TF5U	GSM1117809_GTEX-RU72-0011-R7A-SM-2TWD8.CEL
GTEX-RU72-0011-R8A-SM-2TF61	GSM1117810_GTEX-RU72-0011-R8A-SM-2TWCW.CEL
GTEX-RU72-0011-R9A-SM-2TF67	GSM1117811_GTEX-RU72-0011-R9A-SM-2TWBL.CEL
GTEX-RU72-0126-SM-2TF6Z	GSM1117812_GTEX-RU72-0126-SM-2TWBK.CEL
GTEX-RU72-0326-SM-2TF5T	GSM1117813_GTEX-RU72-0326-SM-2TWCE.CEL
GTEX-RU72-0526-SM-2TF5Z	GSM1117814_GTEX-RU72-0526-SM-2TWBS.CEL
GTEX-RU72-0926-SM-2TF6B	GSM1117815_GTEX-RU72-0926-SM-2TWAP.CEL
GTEX-RU72-1126-SM-2TF6H	GSM1117816_GTEX-RU72-1126-SM-2TWAV.CEL
GTEX-RU72-1226-SM-2TF6N	GSM1117817_GTEX-RU72-1226-SM-2TWBD.CEL
GTEX-RU72-1326-SM-2TF6T	GSM1117818_GTEX-RU72-1326-SM-2TWC9.CEL
GTEX-RU72-2926-SM-2TF66	GSM1117819_GTEX-RU72-2926-SM-2TWB3.CEL
GTEX-RUSQ-0003-SM-2XCEB	GSM1117821_GTEX-RUSQ-0003-SM-2XV75.CEL
GTEX-RUSQ-0526-SM-2TF72	GSM1117823_GTEX-RUSQ-0526-SM-2TWCI.CEL
GTEX-RUSQ-0626-SM-2TF5V	GSM1117824_GTEX-RUSQ-0626-SM-2TWD6.CEL
GTEX-RUSQ-1026-SM-2TF6V	GSM1117825_GTEX-RUSQ-1026-SM-2TWD9.CEL
GTEX-RUSQ-1526-SM-2TF62	GSM1117826_GTEX-RUSQ-1526-SM-2TWBQ.CEL
GTEX-RUSQ-1726-SM-2TF68	GSM1117827_GTEX-RUSQ-1726-SM-2TWCJ.CEL
GTEX-RUSQ-1826-SM-2TF6E	GSM1117828_GTEX-RUSQ-1826-SM-2XU9Q.CEL
GTEX-RUSQ-1926-SM-2TF6K	GSM1117829_GTEX-RUSQ-1926-SM-2XUA4.CEL
GTEX-RVPU-0005-SM-2TF6L	GSM1117830_GTEX-RVPU-0005-SM-2XU97.CEL
GTEX-RVPU-0011-R10A-SM-2XCAH	GSM1117831_GTEX-RVPU-0011-R10A-SM-2XU9G.CEL
GTEX-RVPU-0011-R11A-SM-2XCAF	GSM1117832_GTEX-RVPU-0011-R11A-SM-2XU9W.CEL
GTEX-RVPU-0011-R1A-SM-2XCAI	GSM1117833_GTEX-RVPU-0011-R1A-SM-2XUA7.CEL
GTEX-RVPU-0011-R2A-SM-2XCAG	GSM1117834_GTEX-RVPU-0011-R2A-SM-2XU9N.CEL
GTEX-RVPU-0011-R3A-SM-2XCAE	GSM1117835_GTEX-RVPU-0011-R3A-SM-2XUA9.CEL
GTEX-RVPU-0011-R5A-SM-2XCAD	GSM1117837_GTEX-RVPU-0011-R5A-SM-2XU9Z.CEL
GTEX-RVPU-0011-R7A-SM-2XCAB	GSM1117839_GTEX-RVPU-0011-R7A-SM-2XU9D.CEL
GTEX-RVPU-0011-R8A-SM-2TF74	GSM1117840_GTEX-RVPU-0011-R8A-SM-2XU94.CEL
GTEX-RVPU-0011-R9A-SM-3NM8E	GSM1117841_GTEX-RVPU-0011-R9A-SM-2XUAM.CEL
GTEX-RVPU-2226-SM-2XCAQ	GSM1117842_GTEX-RVPU-2226-SM-2XU9A.CEL
GTEX-RVPU-2326-SM-2TF6R	GSM1117843_GTEX-RVPU-2326-SM-2XU8D.CEL
GTEX-RVPU-2426-SM-2XCAR	GSM1117844_GTEX-RVPU-2426-SM-2XU9M.CEL
GTEX-RVPV-0006-SM-2TF6Q	GSM1117845_GTEX-RVPV-0006-SM-2XUA6.CEL
GTEX-RVPV-0011-R11A-SM-2TF6F	GSM1117846_GTEX-RVPV-0011-R11A-SM-2XU98.CEL
GTEX-RVPV-0011-R3A-SM-2TF63	GSM1117847_GTEX-RVPV-0011-R3A-SM-2XUAE.CEL
GTEX-RVPV-0011-R5A-SM-2TF69	GSM1117848_GTEX-RVPV-0011-R5A-SM-2XUAC.CEL
GTEX-RVPV-0226-SM-2TF6W	GSM1117849_GTEX-RVPV-0226-SM-2XU9L.CEL
GTEX-RVPV-1226-SM-2TF73	GSM1117850_GTEX-RVPV-1226-SM-2XUAG.CEL
GTEX-RVPV-1726-SM-2TF5W	GSM1117851_GTEX-RVPV-1726-SM-2XU8R.CEL
GTEX-RWS6-0005-SM-2XCAN	GSM1117852_GTEX-RWS6-0005-SM-2XU9T.CEL
GTEX-RWS6-0226-SM-2XCA9	GSM1117853_GTEX-RWS6-0226-SM-2XUAO.CEL
GTEX-RWS6-0326-SM-2XCAP	GSM1117854_GTEX-RWS6-0326-SM-2XUAF.CEL
GTEX-RWS6-0626-SM-2XCAS	GSM1117855_GTEX-RWS6-0626-SM-2XUAT.CEL
GTEX-RWS6-2026-SM-2XCB5	GSM1117856_GTEX-RWS6-2026-SM-2XU8X.CEL
GTEX-RWS6-2126-SM-2XCAV	GSM1117857_GTEX-RWS6-2126-SM-2XU95.CEL
GTEX-RWS6-2326-SM-2XCB4	GSM1117858_GTEX-RWS6-2326-SM-2XU8O.CEL
GTEX-RWS6-2426-SM-2XCB9	GSM1117859_GTEX-RWS6-2426-SM-2XU8G.CEL
GTEX-RWSA-0005-SM-2XCAO	GSM1117860_GTEX-RWSA-0005-SM-2XU8W.CEL
GTEX-RWSA-0126-SM-2XCBB	GSM1117861_GTEX-RWSA-0126-SM-2XU9X.CEL
GTEX-RWSA-0526-SM-2XCBC	GSM1117862_GTEX-RWSA-0526-SM-2XU8U.CEL
GTEX-RWSA-0626-SM-2XCBD	GSM1117863_GTEX-RWSA-0626-SM-2XU9U.CEL
GTEX-RWSA-0826-SM-2XCBF	GSM1117864_GTEX-RWSA-0826-SM-2XUAA.CEL
GTEX-RWSA-1126-SM-2XCAZ	GSM1117865_GTEX-RWSA-1126-SM-2XU92.CEL
GTEX-S32W-0004-SM-2XCE9	GSM1117866_GTEX-S32W-0004-SM-2XUAW.CEL
GTEX-S32W-0006-SM-2XCAK	GSM1117867_GTEX-S32W-0006-SM-2XU8J.CEL
GTEX-S32W-0326-SM-2XCBI	GSM1117868_GTEX-S32W-0326-SM-2XUAN.CEL
GTEX-S32W-0626-SM-2XCBG	GSM1117869_GTEX-S32W-0626-SM-2XUA5.CEL
GTEX-S32W-0726-SM-2XCBL	GSM1117870_GTEX-S32W-0726-SM-2XUAY.CEL
GTEX-S32W-2126-SM-2XCB1	GSM1117871_GTEX-S32W-2126-SM-2XU8S.CEL
GTEX-S32W-2326-SM-2XCAW	GSM1117872_GTEX-S32W-2326-SM-2XU9H.CEL
GTEX-S32W-2426-SM-2XCAT	GSM1117873_GTEX-S32W-2426-SM-2XU8T.CEL
GTEX-S32W-2526-SM-2XCB8	GSM1117874_GTEX-S32W-2526-SM-2XU8Y.CEL
GTEX-S33H-0005-SM-2XCAL	GSM1117875_GTEX-S33H-0005-SM-2XU96.CEL
GTEX-S33H-0626-SM-2XCBJ	GSM1117877_GTEX-S33H-0626-SM-2XUAP.CEL
GTEX-S33H-2226-SM-2XCB7	GSM1117878_GTEX-S33H-2226-SM-2XU99.CEL
GTEX-S33H-2326-SM-2XCB3	GSM1117879_GTEX-S33H-2326-SM-2XU8P.CEL
GTEX-S33H-2426-SM-2XCB2	GSM1117880_GTEX-S33H-2426-SM-2XU8L.CEL
GTEX-S341-0006-SM-3NM8D	GSM1117881_GTEX-S341-0006-SM-2XUA1.CEL
GTEX-S341-0226-SM-2XCAX	GSM1117882_GTEX-S341-0226-SM-2XU9O.CEL
GTEX-S341-0326-SM-2XCAU	GSM1117883_GTEX-S341-0326-SM-2XUAR.CEL
GTEX-S341-1726-SM-3K2AK	GSM1117884_GTEX-S341-1726-SM-2XU8C.CEL
GTEX-S341-1826-SM-3K2AB	GSM1117885_GTEX-S341-1826-SM-2XU9V.CEL
GTEX-S341-1926-SM-3K2BA	GSM1117886_GTEX-S341-1926-SM-2XU91.CEL
GTEX-S341-2026-SM-2XCAA	GSM1117887_GTEX-S341-2026-SM-2XU8A.CEL
GTEX-S3XE-0006-SM-3K2AA	GSM1117888_GTEX-S3XE-0006-SM-2XU9B.CEL
GTEX-S3XE-0426-SM-3K2AC	GSM1117889_GTEX-S3XE-0426-SM-2XUAK.CEL
GTEX-S3XE-1726-SM-3K2AM	GSM1117890_GTEX-S3XE-1726-SM-2XU9F.CEL
GTEX-S3XE-1826-SM-3K2B4	GSM1117891_GTEX-S3XE-1826-SM-2XU8Z.CEL
GTEX-S3XE-1926-SM-3K2B3	GSM1117892_GTEX-S3XE-1926-SM-2XU8H.CEL
GTEX-S3XE-2026-SM-3K2B5	GSM1117893_GTEX-S3XE-2026-SM-2XU9P.CEL
GTEX-S4P3-0006-SM-3K2AW	GSM1117894_GTEX-S4P3-0006-SM-2XU8F.CEL
GTEX-S4P3-0226-SM-3K2BD	GSM1117895_GTEX-S4P3-0226-SM-2XUAX.CEL
GTEX-S4P3-1626-SM-3K2AZ	GSM1117896_GTEX-S4P3-1626-SM-2XUAB.CEL
GTEX-S4P3-1826-SM-3K2AL	GSM1117897_GTEX-S4P3-1826-SM-2XU8N.CEL
GTEX-S4Q7-0006-SM-3K2AT	GSM1117898_GTEX-S4Q7-0006-SM-2XUA8.CEL
GTEX-S4Q7-0326-SM-3K2B1	GSM1117899_GTEX-S4Q7-0326-SM-2XUAU.CEL
GTEX-S4Q7-0426-SM-3K2BJ	GSM1117900_GTEX-S4Q7-0426-SM-2XUAZ.CEL
GTEX-S4Q7-1426-SM-3K2B9	GSM1117901_GTEX-S4Q7-1426-SM-2XU8I.CEL
GTEX-S4Q7-1526-SM-3K2AG	GSM1117902_GTEX-S4Q7-1526-SM-2XU9C.CEL
GTEX-S4Q7-1626-SM-3K2AE	GSM1117903_GTEX-S4Q7-1626-SM-2XU8B.CEL
GTEX-S4UY-0126-SM-3K2BB	GSM1117904_GTEX-S4UY-0126-SM-2XU9R.CEL
GTEX-S4UY-0426-SM-3K2AF	GSM1117905_GTEX-S4UY-0426-SM-2XU8M.CEL
GTEX-S4UY-0526-SM-3K2AN	GSM1117906_GTEX-S4UY-0526-SM-2XUA3.CEL
GTEX-S4UY-0626-SM-3K2AO	GSM1117907_GTEX-S4UY-0626-SM-2XUAQ.CEL
GTEX-S4Z8-0006-SM-3K2AQ	GSM1117908_GTEX-S4Z8-0006-SM-2XU8E.CEL
GTEX-S4Z8-0326-SM-3K2AU	GSM1117909_GTEX-S4Z8-0326-SM-2XUAS.CEL
GTEX-S4Z8-0426-SM-3K2AH	GSM1117910_GTEX-S4Z8-0426-SM-2XUA2.CEL
GTEX-S4Z8-1726-SM-3K2AX	GSM1117912_GTEX-S4Z8-1726-SM-2XU8V.CEL
GTEX-S4Z8-1826-SM-3K2BH	GSM1117913_GTEX-S4Z8-1826-SM-2XU9S.CEL
GTEX-S4Z8-1926-SM-3K2AR	GSM1117914_GTEX-S4Z8-1926-SM-2XU8Q.CEL
GTEX-S4Z8-2026-SM-3K2A9	GSM1117915_GTEX-S4Z8-2026-SM-2XU8K.CEL
GTEX-S7SE-0005-SM-2XCEA	GSM1117916_GTEX-S7SE-0005-SM-2XV5X.CEL
GTEX-S7SE-0011-R10A-SM-2XCDF	GSM1117917_GTEX-S7SE-0011-R10A-SM-2XV6P.CEL
GTEX-S7SE-0011-R11A-SM-2XCDD	GSM1117918_GTEX-S7SE-0011-R11A-SM-2XV71.CEL
GTEX-S7SE-0011-R1A-SM-2XCDE	GSM1117919_GTEX-S7SE-0011-R1A-SM-2XV6O.CEL
GTEX-S7SE-0011-R2A-SM-2XCDC	GSM1117920_GTEX-S7SE-0011-R2A-SM-2XV69.CEL
GTEX-S7SE-0011-R4A-SM-2XCDB	GSM1117921_GTEX-S7SE-0011-R4A-SM-2XV6H.CEL
GTEX-S7SE-0011-R5A-SM-2XCDA	GSM1117922_GTEX-S7SE-0011-R5A-SM-2XV6C.CEL
GTEX-S7SE-0011-R6A-SM-2XCD9	GSM1117923_GTEX-S7SE-0011-R6A-SM-2XV62.CEL
GTEX-S7SE-0011-R7A-SM-2XCDI	GSM1117924_GTEX-S7SE-0011-R7A-SM-2XV6D.CEL
GTEX-S7SE-0011-R8A-SM-2XCDG	GSM1117925_GTEX-S7SE-0011-R8A-SM-2XV6X.CEL
GTEX-S7SE-0126-SM-2XCD5	GSM1117926_GTEX-S7SE-0126-SM-2XV4Z.CEL
GTEX-S7SE-0526-SM-2XCD8	GSM1117927_GTEX-S7SE-0526-SM-2XV4N.CEL
GTEX-S7SE-0726-SM-2XCD7	GSM1117928_GTEX-S7SE-0726-SM-2XV5T.CEL
GTEX-S7SE-0926-SM-2XCD6	GSM1117929_GTEX-S7SE-0926-SM-2XV63.CEL
GTEX-S7SE-2526-SM-2XCDL	GSM1117930_GTEX-S7SE-2526-SM-2XV6R.CEL
GTEX-S7SF-0001-SM-3K2BE	GSM1117931_GTEX-S7SF-0001-SM-2XV74.CEL
GTEX-S7SF-0006-SM-3K2B6	GSM1117932_GTEX-S7SF-0006-SM-2XUAD.CEL
GTEX-S7SF-0226-SM-3K2BI	GSM1117933_GTEX-S7SF-0226-SM-2XUAJ.CEL
GTEX-S7SF-0426-SM-3K2B7	GSM1117934_GTEX-S7SF-0426-SM-2XUAV.CEL
GTEX-S7SF-0526-SM-3K2BC	GSM1117935_GTEX-S7SF-0526-SM-2XUAI.CEL
GTEX-S7SF-1626-SM-3K2AY	GSM1117936_GTEX-S7SF-1626-SM-2XU9K.CEL
GTEX-S7SF-2026-SM-3K2AS	GSM1117937_GTEX-S7SF-2026-SM-2XU9J.CEL
GTEX-S7SF-2226-SM-3K2BG	GSM1117938_GTEX-S7SF-2226-SM-2XU93.CEL
GTEX-S95S-0005-SM-2XCEC	GSM1117939_GTEX-S95S-0005-SM-2XV5N.CEL
GTEX-S95S-1426-SM-2XCDM	GSM1117940_GTEX-S95S-1426-SM-2XV5A.CEL
GTEX-S95S-1526-SM-2XCDH	GSM1117941_GTEX-S95S-1526-SM-2XV56.CEL
GTEX-S95S-1626-SM-2XCDJ	GSM1117942_GTEX-S95S-1626-SM-2XV5P.CEL
GTEX-SE5C-0526-SM-2XCE1	GSM1117943_GTEX-SE5C-0526-SM-2XV6Y.CEL
GTEX-SIU7-0426-SM-2XCDX	GSM1117944_GTEX-SIU7-0426-SM-2XV6U.CEL
GTEX-SIU7-0526-SM-3NM8I	GSM1117945_GTEX-SIU7-0526-SM-2XV5V.CEL
GTEX-SIU7-1126-SM-2XCDW	GSM1117946_GTEX-SIU7-1126-SM-2XV72.CEL
GTEX-SIU7-1826-SM-2XCE2	GSM1117948_GTEX-SIU7-1826-SM-2XV6Z.CEL
GTEX-SIU8-0006-SM-2XCE5	GSM1117949_GTEX-SIU8-0006-SM-2XV6N.CEL
GTEX-SIU8-0126-SM-2XCDT	GSM1117950_GTEX-SIU8-0126-SM-2XV58.CEL
GTEX-SIU8-0226-SM-2XCDS	GSM1117951_GTEX-SIU8-0226-SM-2XV4Q.CEL
GTEX-SIU8-0326-SM-2XCDR	GSM1117952_GTEX-SIU8-0326-SM-2XV4V.CEL
GTEX-SIU8-0526-SM-2XCDP	GSM1117953_GTEX-SIU8-0526-SM-2XV5O.CEL
GTEX-SIU8-0626-SM-2XCDN	GSM1117954_GTEX-SIU8-0626-SM-2XV5R.CEL
GTEX-SIU8-0826-SM-2XCDQ	GSM1117955_GTEX-SIU8-0826-SM-2XV65.CEL
GTEX-SIU8-0926-SM-2XCDO	GSM1117956_GTEX-SIU8-0926-SM-2XV6Q.CEL
GTEX-SJXC-0005-SM-2XCE7	GSM1117957_GTEX-SJXC-0005-SM-2XV6A.CEL
GTEX-SJXC-0126-SM-2XCFF	GSM1117958_GTEX-SJXC-0126-SM-2XV4I.CEL
GTEX-SJXC-0326-SM-2XCFI	GSM1117959_GTEX-SJXC-0326-SM-2XV4O.CEL
GTEX-SJXC-0426-SM-2XCFH	GSM1117960_GTEX-SJXC-0426-SM-2XV53.CEL
GTEX-SJXC-0526-SM-2XCFG	GSM1117961_GTEX-SJXC-0526-SM-2XV57.CEL
GTEX-SJXC-0726-SM-2XCFJ	GSM1117962_GTEX-SJXC-0726-SM-2XV6M.CEL
GTEX-SNMC-0006-SM-2XCFE	GSM1117963_GTEX-SNMC-0006-SM-2XV4M.CEL
GTEX-SNMC-0126-SM-2XCFO	GSM1117964_GTEX-SNMC-0126-SM-2XV6G.CEL
GTEX-SNMC-1226-SM-2XCFP	GSM1117965_GTEX-SNMC-1226-SM-2XV54.CEL
GTEX-SNMC-1426-SM-2XCFM	GSM1117966_GTEX-SNMC-1426-SM-2XV6L.CEL
GTEX-SNMC-1526-SM-2XCFN	GSM1117967_GTEX-SNMC-1526-SM-2XV4X.CEL
